district,policy,supply_before,supply_after,gap_before,gap_after,gap_delta
종로구,parks_count +10%,34.26225698329131,35.17828751764246,15.310131396600468,14.394100862249317,0.916030534351151
중구,parks_count +10%,33.874382588790084,34.493551375897795,-6.2765624993063796,-6.89573128641409,0.6191687871077107
용산구,parks_count +10%,22.5032633041716,23.419293838522748,8.24644250039276,7.330411966041613,0.9160305343511475
성동구,parks_count +10%,29.707849040747323,30.5984342824776,9.498425136507809,8.60783989477753,0.8905852417302782
광진구,parks_count +10%,23.579694423333212,24.156454389406157,31.347035453348266,30.77027548727532,0.5767599660729452
동대문구,parks_count +10%,31.718312078736787,32.481670857362744,-0.519498581949378,-1.2828573605753348,0.7633587786259568
중랑구,parks_count +10%,40.23835413063705,41.16286642919514,17.689962958910648,16.765450660352556,0.924512298558092
성북구,parks_count +10%,45.73904685497631,46.807749145052654,4.030870606855743,2.9621683167793975,1.0687022900763452
강북구,parks_count +10%,31.592485374275686,32.30495356765991,39.67000063702611,38.95753244364188,0.7124681933842254
도봉구,parks_count +10%,37.243119629871735,37.930142530635095,22.937372477005248,22.250349576241888,0.6870229007633597
노원구,parks_count +10%,66.93935888849595,66.93935888849595,-1.1804425459799859,-1.1804425459799859,0.0
은평구,parks_count +10%,40.570071542657715,41.723591474803605,6.042738377219848,4.889218445073958,1.1535199321458904
서대문구,parks_count +10%,36.96226431259595,37.997039545844466,15.463330436353985,14.428555203105468,1.0347752332485172
마포구,parks_count +10%,37.029831695065866,38.259687505074346,-1.9478185242547923,-3.1776743342632727,1.2298558100084804
양천구,parks_count +10%,44.3601560171129,45.38644948615446,-6.8547261767620284,-7.88101964580359,1.026293469041562
강서구,parks_count +10%,52.2533085419595,53.35593788886366,3.282799780234093,2.180170433329934,1.102629346904159
구로구,parks_count +10%,45.20350827170819,46.17042939130106,4.5979329509283176,3.6310118313354423,0.9669211195928753
금천구,parks_count +10%,20.34950468607255,20.816001717455077,34.02411907855812,33.5576220471756,0.46649703138252363
영등포구,parks_count +10%,33.114315515774095,34.030346050125246,-2.826304142589244,-3.742334676940395,0.916030534351151
동작구,parks_count +10%,35.11423497367353,35.852148459678624,14.672077375700304,13.934163889695213,0.7379134860050911
관악구,parks_count +10%,36.382131389784334,37.501724265102396,29.186290306150397,28.066697430832335,1.1195928753180624
서초구,parks_count +10%,50.889848727589424,51.56838986414583,-34.55128167164027,-35.22982280819667,0.6785411365564045
강남구,parks_count +10%,62.05460257660455,63.47105719916605,-23.940579729518376,-25.35703435207987,1.4164546225614956
송파구,parks_count +10%,48.90661329112853,49.92442499596313,0.16185210999524458,-0.855959594839355,1.0178117048345996
강동구,parks_count +10%,34.70467933623486,35.81579044734597,11.761867388760557,10.65075627764945,1.1111111111111072
종로구,health_promotion_centers_count +1,34.26225698329131,35.8495585705929,15.310131396600468,13.72282980929888,1.5873015873015888
중구,health_promotion_centers_count +1,33.874382588790084,35.461684176091666,-6.2765624993063796,-7.863864086607961,1.5873015873015817
용산구,health_promotion_centers_count +1,22.5032633041716,24.09056489147319,8.24644250039276,6.659140913091171,1.5873015873015888
성동구,health_promotion_centers_count +1,29.707849040747323,31.295150628048912,9.498425136507809,7.91112354920622,1.5873015873015888
광진구,health_promotion_centers_count +1,23.579694423333212,25.1669960106348,31.347035453348266,29.759733866046677,1.5873015873015888
동대문구,health_promotion_centers_count +1,31.718312078736787,33.305613666038376,-0.519498581949378,-2.106800169250967,1.5873015873015888
중랑구,health_promotion_centers_count +1,40.23835413063705,41.82565571793864,17.689962958910648,16.10266137160906,1.5873015873015888
성북구,health_promotion_centers_count +1,45.73904685497631,47.326348442277904,4.030870606855743,2.443569019554147,1.5873015873015959
강북구,health_promotion_centers_count +1,31.592485374275686,33.17978696157727,39.67000063702611,38.08269904972452,1.5873015873015888
도봉구,health_promotion_centers_count +1,37.243119629871735,38.830421217173324,22.937372477005248,21.35007088970366,1.5873015873015888
노원구,health_promotion_centers_count +1,66.93935888849595,66.93935888849595,-1.1804425459799859,-1.1804425459799859,0.0
은평구,health_promotion_centers_count +1,40.570071542657715,42.1573731299593,6.042738377219848,4.455436789918259,1.5873015873015888
서대문구,health_promotion_centers_count +1,36.96226431259595,38.54956589989754,15.463330436353985,13.876028849052396,1.5873015873015888
마포구,health_promotion_centers_count +1,37.029831695065866,38.617133282367455,-1.9478185242547923,-3.535120111556381,1.5873015873015888
양천구,health_promotion_centers_count +1,44.3601560171129,45.94745760441449,-6.8547261767620284,-8.442027764063617,1.5873015873015888
강서구,health_promotion_centers_count +1,52.2533085419595,53.84061012926109,3.282799780234093,1.6954981929325044,1.5873015873015888
구로구,health_promotion_centers_count +1,45.20350827170819,46.790809859009784,4.5979329509283176,3.0106313636267217,1.5873015873015959
금천구,health_promotion_centers_count +1,20.34950468607255,21.936806273374135,34.02411907855812,32.436817491256534,1.5873015873015888
영등포구,health_promotion_centers_count +1,33.114315515774095,34.701617103075684,-2.826304142589244,-4.413605729890833,1.5873015873015888
동작구,health_promotion_centers_count +1,35.11423497367353,36.70153656097512,14.672077375700304,13.084775788398716,1.5873015873015888
관악구,health_promotion_centers_count +1,36.382131389784334,37.969432977085916,29.186290306150397,27.598988718848815,1.5873015873015817
서초구,health_promotion_centers_count +1,50.889848727589424,52.47715031489101,-34.55128167164027,-36.138583258941864,1.5873015873015959
강남구,health_promotion_centers_count +1,62.05460257660455,63.64190416390615,-23.940579729518376,-25.527881316819972,1.5873015873015959
송파구,health_promotion_centers_count +1,48.90661329112853,50.49391487843011,0.16185210999524458,-1.425449477306337,1.5873015873015817
강동구,health_promotion_centers_count +1,34.70467933623486,36.29198092353644,11.761867388760557,10.174565801458975,1.5873015873015817
종로구,medical_institutions_count +10%,34.26225698329131,34.461205932240254,15.310131396600468,15.111182447651522,0.19894894894894577
중구,medical_institutions_count +10%,33.874382588790084,34.12421575528992,-6.2765624993063796,-6.526395665806213,0.24983316649983323
용산구,medical_institutions_count +10%,22.5032633041716,22.638398439306737,8.24644250039276,8.111307365257623,0.13513513513513686
성동구,medical_institutions_count +10%,29.707849040747323,29.90846632469794,9.498425136507809,9.297807852557192,0.20061728395061706
광진구,medical_institutions_count +10%,23.579694423333212,23.82493966857846,31.347035453348266,31.10179020810302,0.24524524524524693
동대문구,medical_institutions_count +10%,31.718312078736787,31.97857233899705,-0.519498581949378,-0.7797588422096418,0.2602602602602637
중랑구,medical_institutions_count +10%,40.23835413063705,40.47484061712353,17.689962958910648,17.453476472424164,0.23648648648648418
성북구,medical_institutions_count +10%,45.73904685497631,45.97261375520988,4.030870606855743,3.7973037066221735,0.23356690023356919
강북구,medical_institutions_count +10%,31.592485374275686,31.791434323224635,39.67000063702611,39.471051688077154,0.19894894894895288
도봉구,medical_institutions_count +10%,37.243119629871735,37.40202853878065,22.937372477005248,22.778463568096335,0.15890890890891285
노원구,medical_institutions_count +10%,66.93935888849595,67.25675962256335,-1.1804425459799859,-1.497843280047391,0.3174007340674052
은평구,medical_institutions_count +10%,40.570071542657715,40.865783921703425,6.042738377219848,5.747025998174138,0.29571237904571035
서대문구,medical_institutions_count +10%,36.96226431259595,37.148283665281966,15.463330436353985,15.277311083667968,0.18601935268601721
마포구,medical_institutions_count +10%,37.029831695065866,37.358493690394525,-1.9478185242547923,-2.276480519583451,0.3286619953286589
양천구,medical_institutions_count +10%,44.3601560171129,44.6433558836461,-6.8547261767620284,-7.137926043295231,0.2831998665332023
강서구,medical_institutions_count +10%,52.2533085419595,52.650789356106976,3.282799780234093,2.885318966086615,0.39748081414747816
구로구,medical_institutions_count +10%,45.20350827170819,45.45792935946261,4.5979329509283176,4.3435118631738945,0.25442108775442307
금천구,medical_institutions_count +10%,20.34950468607255,20.5021573387252,34.02411907855812,33.87146642590547,0.15265265265265526
영등포구,medical_institutions_count +10%,33.114315515774095,33.46049502862027,-2.826304142589244,-3.172483655435421,0.3461795128461773
동작구,medical_institutions_count +10%,35.11423497367353,35.36657064267586,14.672077375700304,14.419741706697977,0.25233566900232773
관악구,medical_institutions_count +10%,36.382131389784334,36.68284877383505,29.186290306150397,28.885572922099684,0.3007173840507136
서초구,medical_institutions_count +10%,50.889848727589424,51.51338893446297,-34.55128167164027,-35.17482187851381,0.6235402068735425
강남구,medical_institutions_count +10%,62.05460257660455,62.05460257660455,-23.940579729518376,-23.940579729518376,0.0
송파구,medical_institutions_count +10%,48.90661329112853,49.4333900679053,0.16185210999524458,-0.36492466678152624,0.5267767767767708
강동구,medical_institutions_count +10%,34.70467933623486,35.078803460358984,11.761867388760557,11.387743264636434,0.37412412412412266
